dataset_date,org,agency,affiliation,talent_id,name,en_name,tag,tag_norm,tag_kind,source_label,source_url,source_type,confidence,notes
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:石神のぞみ,石神のぞみ,Ishigami Nozomi,#流石神絵師,流石神絵師,fanart,Fan Art,https://hololist.net/ishigami-nozomi/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:社築,社築,Yashiro Kizuku,#社築納品物,社築納品物,fanart,Fan Art,https://hololist.net/yashiro-kizuku/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:神田笑一,神田笑一,Kanda Shoichi,#クリ笑イト,クリ笑イト,fanart,Fan Art,https://hololist.net/kanda-shoichi/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:空星きらめ,空星きらめ,Sorahoshi Kirame,#きら名画,きら名画,fanart,Fan Art,https://hololist.net/sorahoshi-kirame/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:立伝都々,立伝都々,Tachitsute Toto,#はひふへポートレート,はひふへポートレート,fanart,Fan Art,https://hololist.net/tachitsute-toto/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:竜胆尊,竜胆尊,Rindou Mikoto,#尊絵巻,尊絵巻,fanart,Fan Art,https://hololist.net/rindou-mikoto/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:笹木咲,笹木咲,Sasaki Saku,#笹の絵,笹の絵,fanart,Fan Art,https://hololist.net/sasaki-saku/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:篠宮ゆの,篠宮ゆの,Shinomiya Yuno,#おれのゆの,おれのゆの,fanart,Fan Art,https://hololist.net/shinomiya-yuno/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:綺沙良,綺沙良,Kisara,#きさあるばむ,きさあるばむ,fanart,Fan Art tag,https://hololist.net/kisara/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
2026-05-30,nijisanji,ANYCOLOR,にじさんじ,nijisanji:緋八マナ,緋八マナ,Hibachi Mana,#まな板にマナ居た,まな板にマナ居た,fanart,Fan Art,https://hololist.net/hibachi-mana/,hololist,0.80,NIJISANJI official profile lacks fan-art hashtags; HoloList used as supplemental source
